Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,"Servicios Profesionales, Financieros y Corporativos",9697
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",7560
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",853
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Construcción,60
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Servicios Sociales,6557
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",4772
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Servicios Diversos,3036
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,21521
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",1247
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Industria Manufacturera,1470
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Comercio,7456
20200301,Baja California Sur,Mujer,NO ESPECIFICADO,Comercio,55
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,283
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Restaurantes y Servicios de Alojamiento,407
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Comercio,6622
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Construcción,19509
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Servicios Diversos,829
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Servicios Sociales,627
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",6360
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,"Transportes, Comunicaciones, Correo y Almacenamiento",510
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Gobierno y Organismos Internacionales,1149
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",5635
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Servicios Sociales,2979
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Construcción,529
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,365
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Servicios Sociales,5653
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Industria Extractiva y de la Electricidad,108
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,369
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Industria Manufacturera,5699
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Construcción,815
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,8699
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",651
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Servicios Diversos,10819
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",1804
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Servicios Diversos,1299
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,2036
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Servicios Diversos,6084
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,"Servicios Profesionales, Financieros y Corporativos",9866
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",3125
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Servicios Diversos,8710
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Industria Manufacturera,6701
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Gobierno y Organismos Internacionales,511
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Construcción,1209
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Restaurantes y Servicios de Alojamiento,573
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",1701
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Construcción,7338
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",10823
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",237
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",1599
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Industria Manufacturera,1398
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,18334
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Comercio,8985
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,No Especificado,122
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,12223
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Comercio,16654
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Gobierno y Organismos Internacionales,5190
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Industria Manufacturera,3368
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Gobierno y Organismos Internacionales,7958
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",1364
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Servicios Diversos,10958
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Servicios Sociales,1057
20200301,Campeche,Hombre,15 A 24 AÑOS,Servicios Sociales,931
20200301,Campeche,Hombre,25 A 44 AÑOS,Construcción,19357
20200301,Campeche,Hombre,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,3913
20200301,Campeche,Hombre,65 AÑOS Y MAS,No Especificado,185
20200301,Campeche,Mujer,65 AÑOS Y MAS,Industria Extractiva y de la Electricidad,32
20200301,Campeche,Hombre,15 A 24 AÑOS,Construcción,4500
20200301,Campeche,Hombre,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",859
20200301,Campeche,Mujer,65 AÑOS Y MAS,Servicios Sociales,132
20200301,Campeche,Mujer,NO ESPECIFICADO,Comercio,56
20200301,Campeche,Hombre,45 A 64 AÑOS,Servicios Diversos,5247
20200301,Campeche,Mujer,NO ESPECIFICADO,Servicios Diversos,27
